3467,1
1356,1
1174,2
1246,2
2242,13
269,2
962,4
1025,1
1030,1
1376,1
3082,3
633,106
2979,1
1064,1
1095,1
751,133
3479,1
1396,1
2292,3
1397,5
548,2
1787,7
989,1
1245,186
2945,2
979,2
1322,1
1496,1
1603,1
1593,1
1337,7
1437,7
1348,1
1516,1
1274,1
460,4
695,1
560,1
1152,6
201,1
719,1
675,44
632,1
104,1
3544,1
3043,8
2219,8
863,2
309,23
599,9
600,1
2232,1
830,1
3555,1
1255,3
1455,2
856,10
584,6
1228,9
497,2
870,3
3055,1
310,1
3560,1
562,2
1280,1
3564,26
3242,2
2422,2
508,22
1419,3
3135,21
3566,6
1470,5
2245,4
1341,2
1333,1
2257,3
3042,10
1259,3
1643,3
2253,2
829,5
499,1
1385,5
3079,9
2956,2
1209,10
2953,2
1529,1
3012,6
2169,1
2915,1
1515,6
3899,1
1589,1
2961,6
2172,17
2344,1
2992,1
43,12
2365,1
3016,1
3092,1
648,7
1672,25
2268,9
2964,1
2269,6
1130,4
2266,1
1086,8
2270,10
2267,10
1148,1
1273,1
2994,15
1262,4
2379,1
2427,1
1154,1
529,2
2802,1
2175,4
2238,1
3201,4
3193,2
3205,1
2202,8
999,2
453,2
606,2
2971,4
2919,2
2997,1
3071,1
2185,1
1384,8
2226,1
2980,1
2977,1
2299,1
2568,4
2584,2
2302,1
2306,1
1641,2
2322,1
2313,3
2323,1
367,2
488,1
2909,2
2923,3
2912,2
3004,11
3032,1
2973,3
3052,12
3818,1
61,9
2385,3
677,1
525,1
329,3
520,2
573,1
394,3
148,6
534,1
2250,3
21,478
439,1
3102,6
607,3
1191,8
2241,1
1266,1
1676,4
2947,1
1567,1
1498,1
3217,1
1267,1
1425,7
1619,2
3049,7
645,2
2289,2
1007,1
857,3
2309,1
1399,7
3006,8
3489,1
2363,2
1226,3
3265,3
2235,10
3530,27
2265,4
3393,1
6,34
3916,4
4214,14
3525,4
3331,2
1069,7
3440,1
3325,1
3801,2
1675,9
10,1
4440,1
3456,1
3670,11
3799,13
3798,3
3581,1
1072,5
2939,1
3460,1
3562,1
3797,1
5199,2
4300,1
3810,2
3504,4
1016,4
1080,1
3872,1
403,60
2437,4
58,23
1257,1
384,2
753,10
449,44
423,23
909,1
3153,1
685,21
3300,1
2918,6
3190,107
547,1
1674,5
570,3
885,8
354,104
1014,3
2239,1
15,71
494,1
505,1
3292,4
2362,1
3191,4
3561,1
3753,15
3542,26
621,7
3015,7
1,790
748,356
7978,2
2220,1
2237,5
2201,11
3883,1
992,5
532,3
62,39
1243,2
2958,9
1284,5
953,1
2,9
23,8
3338,6
128,14
26,80
1222,2
461,73
11,3
1325,7
25,11
165,211
3,1011
